0000cb	1	16756	COMPU-SHACK ELECTRONIC GMBH
0000cc	1	16756	DENSAN CO., LTD.
0000cd	1	16756	Allied Telesis Labs Ltd
0000ce	1	16756	MEGADATA CORP.
0000cf	1	16756	HAYES MICROCOMPUTER PRODUCTS
0000d0	1	16756	DEVELCON ELECTRONICS LTD.
0000d1	1	16756	ADAPTEC INCORPORATED
0000d2	1	16756	SBE, INC.
0000d3	1	11619	WANG LABORATORIES INC.
0000d4	1	16756	PURE DATA LTD.
0000d5	1	16756	MICROGNOSIS INTERNATIONAL
0000d6	1	16756	PUNCH LINE HOLDING
0000d7	1	16756	DARTMOUTH COLLEGE
0000d8	1	16918	Novell, Inc.
0000d9	1	16756	NIPPON TELEGRAPH & TELEPHONE
0000da	1	16756	ATEX
0000db	1	16756	British Telecommunications plc
0000dc	1	16756	HAYES MICROCOMPUTER PRODUCTS
0000dd	1	16756	TCL INCORPORATED
0000de	1	16756	CETIA
0000df	1	16756	BELL & HOWELL PUB SYS DIV
0000e0	1	16756	QUADRAM CORP.
0000e1	1	16756	GRID SYSTEMS
0000e2	1	16756	ACER TECHNOLOGIES CORP.
0000e3	1	16756	INTEGRATED MICRO PRODUCTS LTD
0000e4	1	16756	IN2 GROUPE INTERTECHNIQUE
0000e5	1	16756	SIGMEX LTD.
0000e6	1	16756	APTOR PRODUITS DE COMM INDUST
0000e7	1	16756	Star Gate Technologies
0000e8	1	16756	ACCTON TECHNOLOGY CORP.
0000e9	1	16756	ISICAD, INC.
0000ea	1	16756	UPNOD AB
0000eb	1	16756	MATSUSHITA COMM. IND. CO. LTD.
0000ec	1	16756	MICROPROCESS
0000ed	1	16756	APRIL
0000ee	1	16756	NETWORK DESIGNERS, LTD.
0000ef	1	16756	KTI
0000f0	1	18079	Samsung Electronics Co.,Ltd
0000f1	1	16756	MAGNA COMPUTER CORPORATION
0000f2	1	16756	SPIDER COMMUNICATIONS
0000f3	1	16756	GANDALF DATA LIMITED
0000f4	1	16756	Allied Telesis, Inc.
0000f5	1	16756	DIAMOND SALES LIMITED
0000f6	1	16756	APPLIED MICROSYSTEMS CORP.
0000f7	1	16756	YOUTH KEEP ENTERPRISE CO LTD
0000f8	1	16756	DIGITAL EQUIPMENT CORPORATION
0000f9	1	16756	QUOTRON SYSTEMS INC.
0000fa	1	16756	MICROSAGE COMPUTER SYSTEMS INC
0000fb	1	16756	RECHNER ZUR KOMMUNIKATION
0000fc	1	16756	MEIKO
0000fd	1	16756	HIGH LEVEL HARDWARE
0000fe	1	17274	Annapolis Micro Systems, Inc.
0000ff	1	16756	CAMTEC ELECTRONICS LTD.
000100	1	16756	EQUIP'TRANS
000101	1	16756	Private
000102	1	17684	3COM
000103	1	17684	3COM
000104	1	16756	DVICO Co., Ltd.
000105	1	16756	Beckhoff Automation GmbH
000106	1	16756	Tews Datentechnik GmbH
000107	1	16756	Leiser GmbH
000108	1	16756	AVLAB Technology, Inc.
000109	1	16756	Nagano Japan Radio Co., Ltd.
